105, 513, W
101, 513, R
103, 513, R
102, 514, R
100, 514, R
106, 514, R
105, 515, R
105, 515, R
104, 515, R
102, 515, R
103, 515, R
104, 516, R
101, 516, R
104, 517, R
105, 517, R
103, 517, W
104, 517, R
101, 517, R
100, 518, R
106, 518, R
112, 518, R
109, 519, R
107, 519, R
109, 519, W
111, 519, R
109, 520, R
108, 520, R
111, 520, R
107, 521, R
112, 521, R
109, 521, W
110, 521, R
109, 521, R
111, 522, R
110, 522, R
112, 522, R
111, 523, R
111, 523, R
109, 523, R
109, 524, R
116, 524, R
118, 524, W
114, 524, R
117, 525, R
116, 525, R
113, 525, R
113, 525, R
114, 525, R
113, 526, R
116, 526, R
114, 526, R
116, 526, R
113, 526, R
116, 527, W
118, 527, R
116, 527, R
114, 528, R
114, 528, R
115, 528, R
116, 528, R
